ID	sample	Breaking_force	Breaking_strain	Youngs_modulus_mN	Breaking_stress	Youngs_modulus_MPa	diameter	web_code	thread_code	web	thread
CF-1b	CF-1b	2.343	0.305	49.943	19.8211369851514	422.504073601971	12.2712	C	F	Cocoon	Frame
CF-1c	CF-1c	1.657	0.137	64.461	14.0177652515561	545.3223692701	12.2712	C	F	Cocoon	Frame
CF-1d	CF-1d	8.713	0.283	108.6	73.7095887971081	918.726195726608	12.2712	C	F	Cocoon	Frame
CF-1e	CF-1e	7.033	0.589	58.848	59.4972498576909	497.83792970644	12.2712	C	F	Cocoon	Frame
CF-1f	CF-1f	9.23	0.657	6.433	78.0832669112025	54.4214145221848	12.2712	C	F	Cocoon	Frame
CF-1g	CF-1g	27.413	0.35	268.48	231.906456753716	2271.26711812781	12.2712	C	F	Cocoon	Frame
CF-1h	CF-1h	29.62	0.358	312.32	250.577071062819	2642.14148664212	12.2712	C	F	Cocoon	Frame
CF-1i	CF-1i	15.87	0.266	218.5	134.255844624137	1848.45003468015	12.2712	C	F	Cocoon	Frame
CF-1j	CF-1j	13.857	0.482	125.64	117.226417073514	1062.87991925498	12.2712	C	F	Cocoon	Frame
CF-1k	CF-1k	18.3	0.236	229.3	154.812977732937	1939.81507071926	12.2712	C	F	Cocoon	Frame
CF-1l	CF-1l	18.9	0.162	160.13	159.888813068443	1354.65585379099	12.2712	C	F	Cocoon	Frame
CF-2a	CF-2a	58.593	1.045	631.33	139.31862191556	1501.13538432834	23.1464	C	F	Cocoon	Frame
CF-2b	CF-2b	37.41	0.253	487.03	88.9510631963051	1158.02823599295	23.1464	C	F	Cocoon	Frame
CF-2c	CF-2c	23.577	0.385	387.87	56.0598561074388	922.252041752228	23.1464	C	F	Cocoon	Frame
CF-2d	CF-2d	26.943	0.326	328.35	64.0633118336821	780.729259569815	23.1464	C	F	Cocoon	Frame
CF-2e	CF-2e	23.427	0.14	357.47	55.7031958700839	849.968900314974	23.1464	C	F	Cocoon	Frame
CF-2f	CF-2f	41.367	0.455	462.34	98.3597602577265	1099.32196092434	23.1464	C	F	Cocoon	Frame
CF-3a	CF-3a	59.977	0.315	714.93	195.730531133685	2333.12150696776	19.75733	C	F	Cocoon	Frame
CF-3b	CF-3b	87.763	0.341	1092.1	286.408099836364	3563.98807961548	19.75733	C	F	Cocoon	Frame
CF-4a	CF-4a	87.187	0.479	982.29	206.671349189102	2328.45721948184	23.182	C	F	Cocoon	Frame
CF-4b	CF-4b	81.217	0.374	750.34	192.519836295449	1778.63420177952	23.182	C	F	Cocoon	Frame
CF-5a	CF-5a	143.4	0.47	1541.3	287.36273401367	3088.64840959044	25.213	C	F	Cocoon	Frame
CF-5b	CF-5b	62.46	0.674	347.86	125.165107158255	697.085081269144	25.213	C	F	Cocoon	Frame
CF-6a	CF-6a	34.477	0.413	329.32	450.569238576656	4303.78111924078	9.873	C	F	Cocoon	Frame
CF-6b	CF-6b	25.41	0.577	220.36	332.075422810362	2879.8166143444	9.873	C	F	Cocoon	Frame
CF-7a	CF-7a	44.28	0.732	8.605	293.256508210618	56.988984940207	13.869	C	F	Cocoon	Frame
CF-7b	CF-7b	22.473	0.511	32.295	148.833638415023	213.882541388028	13.869	C	F	Cocoon	Frame
CF-8a	CF-8a	30.963	0.477	85.861	289.175875524747	801.89031581017	11.679	C	F	Cocoon	Frame
CF-8b	CF-8b	20.307	0.542	78.415	189.655217655945	732.349135396216	11.679	C	F	Cocoon	Frame
CF-9	CF-9	24.51	0.319	175.84	278.092806664525	1995.09747547491	10.596	C	F	Cocoon	Frame
